医療機関名,住所,予約受付番号,受付_Web,受付_来院,受付_電話,受付_電話_曜日,受付_電話_時間,受付_電話_備考,受入_一般の方,受入_かかりつけの方,受入_妊婦,受入_こども_対象年齢,経度,緯度,URL,自由記入欄,ファイザー実施機関,モデルナ実施機関,ファイザー製ワクチン予約空き情報,モデルナ製ワクチン予約空き情報
医療法人晃和会　北田医院,大阪市鶴見区放出東2-4-1,,1,,,,,LINEで予約可能（登録は当院HP）,1,1,1,12歳,135.5598391,34.69137639,http://www.kitada-iin.com/,当日予約不可,1,,02若干空き有り,
中谷小児内科クリニック,大阪市平野区加美正覚寺2-10-29,,,1,,,,,1,1,1,12歳,135.5595477,34.63037182,http://www.docsky.net/,,1,,,
ひげのこどもクリニック,大阪市天王寺区烏ヶ辻1-1-1,06-6774-1980,,,1,,,,1,1,1,12歳,135.5274058,34.65800496,https://www.higeno-child.com/,,1,,03予約可能,
よねもと内科クリニック,大阪市天王寺区石ケ辻町18-21 上六ときビル3階,06-6796-8633,,,1,①月～金 ②土,①9:00～13:30 16:30～19:00 ②9:00～12:30,開始時期は1月中旬以降の予定,,1,,16歳,135.5205172,34.66435669,https://yonemoto-clinic.com/,,1,,,
訪問診療クリニック麒麟,大阪市生野区生野西4-14-12,080-3541-9216,1,,1,月～金,9:00～17:00,twitterからも受付可能,1,1,,12歳,135.5265972,34.64721239,https://www.kirin-vc.com/,,1,,,
医療法人　川合内科・小児科,大阪市東住吉区中野4-5-18,,1,,,,,予約はアイチケット(当院HP参照),,1,1,12歳,135.5391194,34.61875944,https://www.kawainaika-syonika.com/,,1,,,
医療法人豊旺会　共立病院,大阪市平野区長吉出戸7-14-13,06-6799-0285,,,1,月～金,10:00～15:00,,,1,,,135.5773267,34.61077129,https://kyoritsu.hououkai.or.jp/index.html,,1,,,
長岡医院,大阪市平野区流町4-10-1,06-6799-1077,,1,1,①月～金 ②土,①9:30～12:15 17:00～19:15 ②9:30～12:15,電話にて確認、来院にて予約,1,1,1,12歳,135.5535188,34.61831631,https://hirano-med.net/search/detail_60.html,,1,,,
稲葉医院,大阪市平野区長吉川辺3-4-78,06-6799-1126,,1,1,,,予約は電話もしくは来院,,1,,16歳,135.5794209,34.59699958,https://www.hirano-med.net/search/detail_151.html,,1,,,
医療法人桜医会　さくらクリニック,大阪市旭区大宮1-13-9,06-6954-0707,,,1,①月・火・木・金　②水・土,①9:00～12:30　16:00～19:00　②9:00～12:30,,1,,1,12歳,135.5470297,34.72104454,https://www.ouikai-sakura.jp/,,1,,,
岡部内科クリニック,大阪市東淀川区東淡路4-10-2,06-6815-8100,,,1,月～金,9:00～11:00,,,1,1,16歳,135.5178961,34.73746968,,接種券届いた方のみ,1,,03予約可能,
医療法人三栄会　坂本内科クリニック,大阪市東淀川区北江口4-3-27　インペリアル江口C棟1階,,,1,,,,当院でワクチン接種した方は受入可,,1,,12歳,135.5503499,34.7589422,http://www.sakamotonaika.jp/,,1,,,
医療法人　前田整形外科,大阪市東淀川区井高野2-5-8　井高野中央ビル2階,,,1,,,9:00～12:00 15:30～18:00,,,1,1,,135.5473289,34.76288943,http://www.maeda-clinic.jp/,,1,,,
医療法人昌貴会　かわせ小児科,大阪市東淀川区井高野2丁目5番8号　井高野中央ビル2階,06-6829-2777,1,,,,,,,1,1,12歳,135.5476289,34.76288943,https://covid19.e-chusya.com/user2/top2.php?AccountID=33071,,1,,03予約可能,
安芸医院,大阪市都島区中野町1-3-18,,,1,,,,,1,1,1,12歳,135.5260375,34.69780838,http://www.eonet.ne.jp/~akiclinic/,,1,,,
医療法人　波津診療所,大阪市西淀川区姫島1-18-12,06-6475-5067,,,1,①月・火・木・金 ②水・土,①9:30～13:00 17:30～20:00 ②9:30～13:00,,,1,1,12歳,135.4576088,34.70368777,https://nishiyodo-med.or.jp/medical_institution/hazu/,,1,,,
医療法人　眼科いしくらクリニック,大阪市淀川区十三東二丁目6番43号,,1,1,,,,かかりつけはSMS、一般は来院のみ,,1,1,12歳,135.4847239,34.72014449,,窓口に接種券を持参して下さい,1,,03予約可能,
医療法人　きぬがわ内科循環器内科,大阪市淀川区新北野3-12-7,,,,,,,診察時に予約,,1,,,135.4727583,34.71331456,http://kinugawa-naika.na.coocan.jp/,,1,,,
マサキここちクリニック,大阪市中央区大手前3丁目1番43号ホテルプリムローズ大阪（3階）,06-6910-1951,,,1,月～金,9:00～13:00,,,1,,16歳,135.5186602,34.68382679,https://www.masaki-kokochi.com/,,1,,,
医療法人仁和会　和田病院,大阪市鶴見区横堤3-10-18,070-5046-2379,,,1,月～土,10:00～12:00 13:00～17:00,1、2回目を当院で接種された方は優先,,1,,16歳,135.5735751,34.7032057,http://www.wada-hp.net/,接種：最短2/2以降、時間14～15時,1,,03予約可能,
生活協同組合ヘルスコープおおさか　まった生協診療所,大阪市鶴見区横堤3-6-7,06-6911-3195,,,1,月～金,14:00～16:00,,1,1,,,135.5727895,34.70061492,https://mattashin.net/,,1,,,
寺内クリニック,大阪市鶴見区浜3-2-3,06-6911-6777,,1,1,,診療時間内,予約キャンセルの場合は電話可,1,,,,135.5842403,34.70532631,https://www.tsurumi.osaka.med.or.jp/info_2/658.html,,1,,,
医療法人いしだ会　いしだ整形外科クリニック,大阪市鶴見区諸口4-7-7　メゾン交楽園参番館,,,1,,,,,,1,,,135.5784479,34.70315702,https://www.ishidaseikei.com/,,1,,,
医療法人　安住医院,大阪市鶴見区横堤1-1-5,,,1,,,,,,1,,12歳,135.5669994,34.70062519,https://www.tsurumi.osaka.med.or.jp/info_2/416.html,,1,,,
医療法人　川上医院,大阪市鶴見区徳庵1-1-64,06-6912-1024,,,1,,,,,1,1,12歳,135.5799909,34.6970811,https://osaka-1114.com/,,1,,,
医療法人ＡＷＮＣ　わたなべ脳神経外科クリニック,大阪市平野区平野本町2-10-25　,06-6777-1002,,,1,①月・火・木・金 ②水 ③土,①10:00～19:00 ②15:00～19:00 ③10:00～13:00,1/17より電話受付開始,,1,,,135.5492947,34.6209859,http://w-nc.com/,,1,,,
医療法人　てらかど診療所,大阪市住吉区長居4-10-23,06-6694-3856,,1,1,,,,,1,1,,135.5093593,34.60656119,http://www.terakado-med.com/,,1,,,
三木医院,大阪市鶴見区安田4-8-2,06-6913-1120,,,1,,,,,1,1,12歳,135.5890885,34.70730368,http://mikiiinn.sakura.ne.jp/,,1,,,
医療法人　吉田整形外科クリニック,大阪市平野区長吉長原東3-2-5　クレストサンシェル1階,06-6799-3800,,1,1,①月・火・水・金 ②木・土,①9:00～12:30 17:00～19:30 ②9:00～12:30,,1,,1,16歳,135.5758322,34.60124292,http://www.yoshida-sc.com/,,1,,,
医療法人泰恵会　しばさきクリニック,大阪市鶴見区諸口1-6-19,,,1,,,,,,1,,16歳,135.5747957,34.69972535,http://www.shibasaki-clinic.com/,,1,,,
医療法人峻正会　長谷川医院,大阪市鶴見区諸口4-15-15,06-6913-6686,,1,1,①月・火・木 ②水・金・土,①9:00～12:30 17:00～19:30 ②9:00～12:30,,1,,1,12歳,135.5822037,34.70186304,https://www.tsurumi.osaka.med.or.jp/info_2/545.html,,1,,,
コープおおさか病院,大阪市鶴見区鶴見3-6-22,,,,,,,,1,1,,16歳,135.56317,34.70245018,https://osh.coop/,,1,1,,03予約可能
まつむらクリニック,大阪市鶴見区横堤1-12-17,06-6914-1199,,1,1,,,,,1,,12歳,135.5672898,34.7026039,http://www.kcmtc.com/,,1,,,
なかたクリニック,大阪市鶴見区諸口4-1-2,06-6914-2223,,,1,①月・火・木 ②水・金・土,①9:00～12:30 17:00～19:30 ②9:00～12:30,,1,,1,12歳,135.5784191,34.70189537,https://nakata-clinic.com/,,1,,,
医療法人　横山クリニック,大阪市鶴見区横堤4-1-36　スターハイム松尾1階,06-6914-3100,,1,1,,,,,1,1,12歳,135.5688281,34.70330803,http://www.yokoyamaclinic.jp/,,1,,,
いまにし医院,大阪市鶴見区浜5-南1-13　モンピエース1階,070-8987-6776,,1,1,,,かかりつけの家族、近隣の方等受入可,,1,1,12歳,135.5822974,34.71287276,https://junnavi.com/imanishi/sindex.php,,1,,,
ハナオカ消化器・内視鏡内科,大阪市東成区東小橋1-9-19 NKビル2階,06-4306-5422,1,,1,,,,1,1,1,12歳,135.5332837,34.67360348,https://hanaoka-endoscopy.com/,,1,,,
医療法人朋桜会　たなかクリニック,大阪市鶴見区諸口2-4-10,06-6915-3800,,1,1,,,,,1,,,135.5785635,34.69921951,http://www.tana-cli.jp/,,1,,01予約不可能,
医療法人明青会　たまつくりクリニック,大阪市東成区中道3-16-15　ソレアード玉造1階,06-6972-0316,1,,1,①月・水・木・金 ②火・土,①9:00～12:00 15:00～17:00 ②9:00～12:00,,1,1,1,12歳,135.5344675,34.67485588,https://tamatsukuri-cl.com/,,1,,,
医療法人　泉野医院,大阪市都島区都島本通4-20-35,06-6921-0187,,,1,,9:00～11:45 17:30～19:45,,,1,1,12歳,135.5305895,34.70804148,https://miyakojimakuishikai.jp/search/hospital-51,,1,,,
京橋耳鼻咽喉科,大阪市都島区都島南通2-4-17,06-6921-0242,,1,1,,,,,1,,12歳,135.5344359,34.70079432,http://www.kyobashi-jibika.jp/,,1,,,
田渕医院,大阪市都島区御幸町2-5-3,06-6921-0260,,1,1,月・火・水・金・土,9:00～12:00,かかりつけの親族、近隣の方等の受入可,,1,,,135.5333184,34.71585435,https://miyakojimakuishikai.jp/search/hospital-23,,1,,,
吉見医院,大阪市都島区大東町1-10-27,06-6921-5317,,1,1,月～土,9:00～12:00,かかりつけの家族(成人)受入可,,1,,,135.5304992,34.72289174,https://miyakojimakuishikai.jp/search/hospital-5,,1,,,
医療法人　池田医院,大阪市都島区大東町1-9-1,06-6921-1994,,1,1,,,,,1,1,16歳,135.5290244,34.7225246,https://ikedaiin.jp/,,1,,,
生活協同組合ヘルスコープおおさか　あかがわ生協診療所,大阪市旭区生江2-8-8,06-6921-3008,,,1,月～金,13:00～17:00,,,1,,16歳,135.5361458,34.72420928,https://akagawashin.net/,,1,,,
医療法人　竹村クリニック,大阪市都島区都島本通3-7-8　高橋ビル1階,06-6921-3541,,1,1,,,,,1,,12歳,135.5267323,34.70704237,http://takemura.webmedipr.jp/,,1,,,
医療法人　はるなクリニック,大阪市淀川区西三国1-3-13　ウイング青山202号室,,1,,,,,一部日付を決めた上で来院予約あり（ホームページ参照）,1,1,1,12歳,135.4904968,34.73918579,https://www.haruna-clinic.com/,,1,,01予約不可能,
駒木医院,大阪市都島区都島中通2-5-14,06-6921-7361,,,1,月・水・金,9:00～12:00,,,1,1,12歳,135.533821,34.70340775,https://miyakojimakuishikai.jp/search/hospital-63,,1,,,
医療法人秋桜会　秋桜会クリニック,大阪市都島区都島本通5丁目14番11号,06-6922-0303,,,1,月～土,9:00～11:00,,,1,,12歳,135.5349212,34.70827178,https://kosumosukaigr.jp/kosumosukaigr/facility_d.htm?L=BCSDetail&ID=A90412363140,,1,,,
医療法人社団　宏久会　泉岡医院,大阪市都島区東野田町5-5-8,06-6922-0890,,1,1,,,,,1,1,12歳,135.5350657,34.69981802,http://www.izuoka.com/,,1,,,
ふみもとクリニック,大阪市都島区友渕町2-15-7　MYSビル2階,080-1494-4483,,,1,月～土,9:00～12:00,,1,1,1,12歳,135.5301033,34.71745358,http://fumimoto-cl.com/,,1,,01予約不可能,
医療法人　武内小児科・内科,大阪市都島区善源寺町2-3-25,06-6922-4158,,,1,,診療時間内,来院予約不可,1,,1,12歳,135.5273419,34.71100488,http://www.takeuchi-cl.net/,,1,,,
いくえ城北公園クリニック,大阪市旭区生江3-28-27,06-6923-2645,,1,1,,,,1,,,12歳,135.5370895,34.72826908,,,1,,03予約可能,
新明会　神原病院,大阪市都島区高倉町1丁目10番5号,,,1,,,,,,1,,16歳,135.5311983,34.71389784,http://kanbara-hp.com/,,1,,,
コープ都島クリニック,大阪市都島区都島本通3-17-10,06-6923-3719,,1,1,月～金,14:00～17:00,,,1,,,135.5273724,34.70810877,https://coop-naniwa.com/miyakojima/,,1,,,
医療法人　とおやま耳鼻咽喉科,大阪市都島区御幸町1丁目9番1号,06-6923-4187,,1,1,,,,1,1,1,12歳,135.5326916,34.71437884,http://www.tooyama-jibika.com/,,1,,03予約可能,
セントラルクリニック岡本,大阪市城東区中央2-15-13　ニュー京阪マンション1階,06-6923-8000,,,1,月,9:00～12:00,,,1,1,12歳,135.5439234,34.70533435,https://central-clinic.net/,,1,,,
大阪鶴見ひなた内科・在宅クリニック,大阪市鶴見区緑1丁目11-3 ベルデカーサ 1・2階,06-6923-9277,,,1,火・木,14:00～16:00,,,1,,,135.5612398,34.71253562,https://osakatsurumi-naika.com/,,1,,,
医療法人　竹谷クリニック,大阪市都島区都島本通2-16-11,,,1,,,,,,1,,,135.5256758,34.70849743,http://taketani.byoinnavi.jp/pc/,,1,,,
医療法人梅本会　梅本耳鼻咽喉科,大阪市都島区善源寺町1-5-54　3F,06-6924-3387,,,1,月～金,9:30～12:00,,,1,1,12歳,135.5259631,34.7092113,https://miyakojimakuishikai.jp/search/hospital-22,,1,,,
すぎもと医院,大阪市都島区中野町5-3-18,06-6924-7077,,,1,,,,1,1,,12歳,135.5215726,34.70529471,http://sugimoto-heart-cl.com/,,1,,,
医療法人浩佑会　ごとう内科クリニック,大阪市都島区善源寺町2-2-22　善源寺メディカルモール2階,06-6924-8868,,,1,,9:00～11:00 18:00～18:50,,,1,,,135.5244886,34.71180147,https://www.gotou-naika.jp/index.html,,1,,,
医療法人医聖会　玉城クリニック,大阪市都島区都島本通1-21-22　メディコート2階,06-6925-0806,,1,1,,8:00～9:00,,,1,,,135.5233778,34.70988693,https://www.tamaki-hp.com/,,1,,,
平尾クリニック,大阪市都島区高倉町3-5-3,,,1,,,,,,1,,16歳,135.5317252,34.71880109,https://miyakojimakuishikai.jp/search/hospital-31,,1,,,
得能クリニック,大阪市都島区高倉町1丁目11番3号　クオーレVEGAⅡ1階,06-6925-3301,,,1,月・火・水・金・土,9:00～12:00,,,1,,,135.5312029,34.71416929,http://tokunoucl.byoinnavi.jp/pc/,,1,,,
医療法人　たにクリニック,大阪市都島区友渕町3-4-22-104,06-6925-3655,,,1,,,当院で1・2回目を接種された方,,1,1,12歳,135.5307471,34.71966883,https://tani-clinic.info/,,1,,,
おぐる医院,大阪市都島区毛馬町2-11-36-107,,,1,,,,かかりつけ患者のみ,,1,,16歳,135.5235505,34.7218355,https://miyakojimakuishikai.jp/search/hospital-7,,1,,,
祐クリニック,大阪市都島区都島本通3-28-12,06-6926-0103,,,1,,,,,1,,,135.5299656,34.70868379,https://you-clinic.net/,,1,,,
こおりやま小児科,大阪市都島区善源寺町2-2-22　2F,06-6926-1155,,,1,,,,1,1,1,12歳,135.5247886,34.71180147,https://www.koriyama-clinic.com/,,1,,03予約可能,
柏井内科,大阪市都島区友渕町1-6-3　ロ-レルスクエア都島ノースウィング1階,06-6926-3101,,,1,月・火・水・金,12:00～13:00,,1,,1,12歳,135.5264929,34.71526725,https://miyakojimakuishikai.jp/search/hospital-19,,1,,,
医療法人名山会　上杉医院,大阪市西区九条3-20-14,06-6582-1800,,1,1,①月・火・水・金 ②木・土,①9:00～13:00 17:00～19:00 ②9:00～13:00,,1,,1,12歳,135.4696808,34.67740637,http://www.uesugi-mc.jp/,,1,,01予約不可能,
医療法人登志会　村瀬クリニック,大阪市旭区生江1-6-8,06-6927-6610,,1,,①月・火・水・金 ②木・土,①9:00～12:00 16:00～19:00 ②9:00～12:00,電話問合せの上、来院にて予約,,1,,12歳,135.5359465,34.72200082,http://murase.webmedipr.jp/,一般も可。接種は2週間以内に致します。,1,,03予約可能,
医療法人　天野クリニック,大阪市都島区大東町2-5-24,06-6927-7500,,1,1,①月・火・水・金 ②木・土,①9:00～12:00 15:30～18:30 ②9:00～12:00,,1,,1,12歳,135.5282428,34.72378439,https://miyakojimakuishikai.jp/search/hospital-1,,1,,,
医療法人誠翠会　いわた耳鼻咽喉科アレルギー科クリニック,大阪市都島区都島本通3-20-3,06-6928-0234,1,1,1,①月・火・木・金 ②土,①9:00～12:00 16:00～18:00 ②9:00～12:00,できるだけweb予約を活用ください,1,,1,12歳,135.5260748,34.70775919,https://iwatajibika.com/,,1,,,
豊小児科,大阪市都島区友渕町1-5-4　ベルパークシティ内,06-6928-1112,,,1,月・火・水,9:00～10:00,,,1,,12歳,135.5296147,34.71608605,https://fakefur-yutaka5005jp.ssl-lolipop.jp/,,1,,,
池田耳鼻咽喉科,大阪市都島区大東町1-9-1,06-6928-3741,,,1,①月・火・木・金 ②土,①9:00～12:00 15:30～18:30 ②9:00～12:00,,,1,1,12歳,135.5293244,34.7225246,https://miyakojimakuishikai.jp/search/hospital-4,,1,,,
かわもと医院,大阪市旭区赤川4-1-39,06-6928-8001,,1,1,,,,,1,1,12歳,135.5329453,34.72669971,http://www.kawamoto-iin.com/,,1,,,
遠藤クリニック,大阪市都島区都島本通3丁目16番10号福祉ビル1階,06-6929-0601,,1,1,,,かかりつけ,,1,,,135.5285497,34.70779992,https://jemc.info/,,1,,,
こうり眼科クリニック　,大阪市都島区善源寺町一丁目5番54号都島高砂ビル5階,06-6929-4345,1,,1,①月・水・木・金 ②土・日,①10:00～19:00 ②10:00～12:30,,1,,1,12歳,135.5262631,34.7092113,http://www.kous.jp/,,1,,,
ひげクリニック,大阪市都島区都島本通3-24-6　西田ビル1階,06-6929-5858,,,1,①月・火・水・金 ②木・土,①8:30～12:00 16:00～19:00 ②8:30～12:00,,1,1,1,,135.5270529,34.70882958,http://www.hige-clinic.com/,,1,,,
医療法人紀光会　平井クリニック,大阪市都島区中野町5-13-4　タワープラザアベニュー1階,,,1,,①月～金 ②土,①12:00～12:15 ②12:00～13:00,,,1,1,12歳,135.5209287,34.70804797,https://miyakojimakuishikai.jp/search/hospital-70,,1,,,
医療法人福肇会　正木脳神経外科クリニック,大阪市城東区蒲生2-9-7,06-6930-1003,,,1,月～土,9:00～12:00,,1,1,,,135.5405004,34.69973567,https://www.ddmap.jp/0669301003,,1,,,
福田クリニック,大阪市城東区関目1-3-11,070-3248-7884,,,1,,,,,1,1,12歳,135.5465663,34.70719822,https://www.fukuda-c.jp/,,1,,,
さかぐち診療所,大阪市城東区関目4-6-10　コーポミカミ1階,06-6930-3577,,,1,,,,1,,1,12歳,135.5520954,34.71181608,http://www.jotoishikai.or.jp/a047/,,1,,02若干空き有り,
生活協同組合ヘルスコープおおさか城東診療所,大阪市城東区今福西1-1-30,06-6931-0779,,1,1,月～金,13:30～16:50,1、2回目を当院で接種された方は受入可,1,1,,,135.5489548,34.69808848,https://jyotoshin.net/,,1,,,
医療法人　高田医院,大阪市城東区関目1-13-17,06-6931-3174,,,1,月～土,9:00～12:00,,,1,1,12歳,135.5483777,34.7057624,https://www.takada-iin.jp/,,1,,,
医療法人誠真会　関目病院,大阪市城東区関目2-13-13,06-6931-3211,,,1,①平日 ②土,①9:30～19:30 ②9:30～12:00,,1,,1,16歳,135.5521583,34.70629937,https://www.sekime-hp.jp/,,1,,03予約可能,
やぶきクリニック,大阪市城東区成育4-20-16,090-8888-3738,,1,1,①月・火・木・金 ②水・土,①9:00～12:30　17:00～20:00 ②9:00～12:30,,,1,1,12歳,135.5447017,34.71129622,https://www.yabuki-clinic.com/,,1,,,
医療法人　本田整形外科内科,大阪市城東区野江3-12-28,,,1,,,,,,1,1,12歳,135.5381461,34.70575546,http://www.jotoishikai.or.jp/a104/,,1,,,
久保医院,大阪市城東区古市2-3-30,06-6931-5363,,1,1,火・木,16:00～16:45,電話予約は令和4年1月以降開始予定,,1,,12歳,135.555532,34.71087222,http://www.jotoishikai.or.jp/a042/,,1,,03予約可能,
